diameterK vratioI TransitionJ PX PY Pz RadiusCr DiameterV scale_con ratio current_bglac reported_ratios_vol.x reported_ratios_vol.y reported_ratios_vol.z reported_ratios_vol.w
0 3 1 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.2 0.3454703 NaN NaN NaN 0
0 3 2 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.4 0.18883 NaN NaN NaN 0
0 3 2 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.4 0.2201581 NaN NaN NaN 0
0 3 2 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.4 0.2514862 NaN NaN NaN 0
0 3 2 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.4 0.2828142 NaN NaN NaN 0
0 3 2 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.4 0.3141423 NaN NaN NaN 0
0 3 2 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.4 0.3454703 NaN NaN NaN 0
0 3 3 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.6 0.18883 NaN NaN NaN 0
0 3 3 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.6 0.2201581 NaN NaN NaN 0
0 3 3 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.6 0.2514862 NaN NaN NaN 0
0 3 3 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.6 0.2828142 NaN NaN NaN 0
0 3 3 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.6 0.3141423 NaN NaN NaN 0
0 3 3 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.6 0.3454703 NaN NaN NaN 0
0 3 4 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.8 0.18883 NaN NaN NaN 0
0 3 4 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.8 0.2201581 NaN NaN NaN 0
0 3 4 -4.153412 -1.125401 1.120002 390 84.5 0.05931902 0.8 0.2514862 NaN NaN NaN 0
